label_5class,basis_i,basis_j,basis_i_name,basis_j_name,corr
0,6,7,b9,b10,-0.9997322319794333
0,7,0,b10,b0,-0.9889341817741545
0,7,1,b10,b1,0.9889341817741553
0,7,2,b10,b4,0.26586260505518516
0,7,3,b10,b5,0.26586260505518555
0,7,4,b10,b6,-0.26586260505518566
0,7,5,b10,b8,-0.9996140075067617
0,7,6,b10,b9,-0.9997322319794334
0,7,7,b10,b10,1.0
1,0,0,b0,b0,1.0
1,0,1,b0,b1,-1.0
1,0,2,b0,b4,-0.6630202292135283
1,0,3,b0,b5,-0.6630202292135279
1,0,4,b0,b6,0.6630202292135279
1,0,5,b0,b8,0.8439752752974671
1,0,6,b0,b9,0.6555862667570047
1,0,7,b0,b10,-0.7160382722850213
1,1,0,b1,b0,-1.0
1,1,1,b1,b1,1.0
1,1,2,b1,b4,0.6630202292135283
1,1,3,b1,b5,0.663020229213528
1,1,4,b1,b6,-0.663020229213528
1,1,5,b1,b8,-0.8439752752974667
1,1,6,b1,b9,-0.655586266757004
1,1,7,b1,b10,0.7160382722850208
1,2,0,b4,b0,-0.6630202292135282
1,2,1,b4,b1,0.6630202292135282
1,2,2,b4,b4,0.9999999999999999
1,2,3,b4,b5,1.0
1,2,4,b4,b6,-1.0
1,2,5,b4,b8,-0.5650961269734743
1,2,6,b4,b9,-0.4882053662435489
1,2,7,b4,b10,0.5176645002759198
1,3,0,b5,b0,-0.6630202292135279
1,3,1,b5,b1,0.6630202292135279
1,3,2,b5,b4,1.0
1,3,3,b5,b5,1.0
1,3,4,b5,b6,-1.0
1,3,5,b5,b8,-0.5650961269734741
1,3,6,b5,b9,-0.4882053662435483
1,3,7,b5,b10,0.5176645002759195
1,4,0,b6,b0,0.6630202292135279
1,4,1,b6,b1,-0.6630202292135281
1,4,2,b6,b4,-1.0
1,4,3,b6,b5,-1.0
1,4,4,b6,b6,1.0
1,4,5,b6,b8,0.5650961269734741
1,4,6,b6,b9,0.4882053662435485
1,4,7,b6,b10,-0.5176645002759195
1,5,0,b8,b0,0.843975275297467
1,5,1,b8,b1,-0.8439752752974667
1,5,2,b8,b4,-0.5650961269734743
1,5,3,b8,b5,-0.5650961269734741
1,5,4,b8,b6,0.5650961269734741
1,5,5,b8,b8,1.0
1,5,6,b8,b9,0.8849036056450347
1,5,7,b8,b10,-0.9323434039302415
1,6,0,b9,b0,0.6555862667570046
1,6,1,b9,b1,-0.655586266757004
1,6,2,b9,b4,-0.4882053662435489
1,6,3,b9,b5,-0.4882053662435483
1,6,4,b9,b6,0.48820536624354854
1,6,5,b9,b8,0.8849036056450346
1,6,6,b9,b9,1.0
1,6,7,b9,b10,-0.9934458943911985
1,7,0,b10,b0,-0.7160382722850213
1,7,1,b10,b1,0.7160382722850209
1,7,2,b10,b4,0.5176645002759198
1,7,3,b10,b5,0.5176645002759195
1,7,4,b10,b6,-0.5176645002759196
1,7,5,b10,b8,-0.9323434039302414
1,7,6,b10,b9,-0.9934458943911985
1,7,7,b10,b10,0.9999999999999999
2,0,0,b0,b0,1.0
2,0,1,b0,b1,-0.9999999999999998
